field,topic_title,topic_duration,comment_author,comment_date,comment_text,processing_comment_text
politique,العثماني قرار مجلس الأمن حول الصحراء يكرّس ثوابت المملكة‬,today,Mc Maroc,الخميس 31 أكتوبر 2019 - 16:35,خصنا الحل النهائي بعد مدة طوية من الإنتضار,خصنا الحل النهائي مدة طوية الإنتضار
politique,العثماني قرار مجلس الأمن حول الصحراء يكرّس ثوابت المملكة‬,today,sidi ghribe,الخميس 31 أكتوبر 2019 - 16:40,قال المغفور له الحسن التاني  الصحراء المغربية قضية وجود وليست قضية حدود  . هل تظنوه كان مازحا ، بل والله لقد كان صادقا صدق أربعون مليون مغربي ، الصحراء المغربية هي المغرب والمغرب هو الصحراء المغربية و ماغير ذلك ماهو إلا هراء .,المغفور الحسن التاني الصحراء المغربية قضية وجود وليست قضية حدود تظنوه مازحا والله لقد صادقا صدق أربعون مغربي الصحراء المغربية المغرب والمغرب الصحراء المغربية ماغير ماهو هراء 
politique,العثماني قرار مجلس الأمن حول الصحراء يكرّس ثوابت المملكة‬,today,citoyen,الخميس 31 أكتوبر 2019 - 16:56,هذا هو الحل االنهائي هو ان يدفع المغرب اربع مرات للغرب اموالا وان ييشتري سلاحا من عند الاءءمبريالية ويعقد اتفاقيات بدرهم رمزي معهم مقابل مووقفهم,الحل االنهائي يدفع المغرب اربع مرات للغرب اموالا ييشتري سلاحا الاءءمبريالية ويعقد اتفاقيات بدرهم رمزي معهم مووقفهم
politique,العثماني قرار مجلس الأمن حول الصحراء يكرّس ثوابت المملكة‬,today,من هولندا,الخميس 31 أكتوبر 2019 - 16:56,مع كامل الأسف، المغرب لايزال يعاني من حركة انفصالية في الجنوب و النظام يجتهد كل ما فيه لخلق حركة انفصالية في الشمال. هذا النظام أبى إلا أن يخلق من حراك الريف أشخاصا عنيدين لا يبالون و لا يهمهم الوطن في شيء و باتوا لا يخفون الآن نيتهم في خلق دويلة في الريف جهارا نهارا. هذا وطن ضحى من أجله آباؤنا و أجدادنا و لن نغفر لكل من ساهم و يساهم في تجزيئه.,كامل الأسف المغرب يعاني حركة انفصالية الجنوب النظام يجتهد لخلق حركة انفصالية الشمال النظام أبى يخلق حراك الريف أشخاصا عنيدين يبالون يهمهم الوطن شيء باتوا يخفون نيتهم خلق دويلة الريف جهارا نهارا وطن ضحى أجله آباؤنا أجدادنا نغفر لكل ساهم يساهم تجزيئه 
politique,العثماني قرار مجلس الأمن حول الصحراء يكرّس ثوابت المملكة‬,today,المحلل,الخميس 31 أكتوبر 2019 - 17:03,الوضع سيبقى للأزل .مازال في خدمة الدول الانتهازية و يبقي الأجواء في نقطة العدم,الوضع سيبقى للأزل خدمة الدول الانتهازية يبقي الأجواء نقطة العدم
politique,العثماني قرار مجلس الأمن حول الصحراء يكرّس ثوابت المملكة‬,today,marrroki pure,الخميس 31 أكتوبر 2019 - 17:12,نموت ونحيى من أجل الوطن،نتمنى أن ينتصر الضمير السياسوي للوزراء ورجال الأعمال والغيورين على هذا الوطن الحبيب من أجل أن نرتقي بالمواطن المغربي لأعلى مستوى نحن على يقين سننتصر على جميع الأعداء.,نموت ونحيى الوطن نتمنى ينتصر الضمير السياسوي للوزراء ورجال الأعمال والغيورين الوطن الحبيب نرتقي بالمواطن المغربي لأعلى مستوى يقين سننتصر الأعداء 
politique,العثماني قرار مجلس الأمن حول الصحراء يكرّس ثوابت المملكة‬,today,Mr Larousse,الخميس 31 أكتوبر 2019 - 17:14,تصحيح : أظن أن فعل كرس في اللغه العربية يعني تثبيث ما هو سلبي ، فكاد الأجدى أن يقال : ...يؤكد ثوابت الأمة أو يدعم أو  يزكي ... على أي حال نحن في حاجة إلى خطوة نوعية من أجل طي هذا الملف .,تصحيح أظن فعل كرس اللغه العربية يعني تثبيث سلبي فكاد الأجدى يقال يؤكد ثوابت الأمة يدعم يزكي حال حاجة خطوة نوعية طي الملف 
politique,العثماني قرار مجلس الأمن حول الصحراء يكرّس ثوابت المملكة‬,today,الحق يعلو ولا يعلى عليه,الخميس 31 أكتوبر 2019 - 17:14,الحقيقة الساطعة هو أن جل العالم يعرف أن الصحراء مغربية، الله يهدي اخواننا الجزائريين ومن يسير على منوالهم ان يحكموا عقلهم وينهون هذه المهزلة التاريخية التي عمرت طويلا التي انهكتم بتبذير اموال لا طائلة لها على مشروع فاشل ويتنازلوا قليلا ثم يجلسوا مع المغرب لإيجاد حل لهؤلاء الساكنة بتندوف الذين يعانون الكثير وضاعوا وضاع ابناؤهم بدون قراءة ولا عمل ولا مستقبل في الأفق، ارفقوا عليهم واتروكوهم يعودوا إلى بلدهم الأم حتى يعيشوا مثلهم مثل إخوانهم وافتحوا صفحة جديدة لا غالب ولا مغلوب والله ولي التوفيق ان يعلم الله في قلوبكم خيرا يؤتكم خيرا,الحقيقة الساطعة جل العالم يعرف الصحراء مغربية الله يهدي اخواننا الجزائريين يسير منوالهم يحكموا عقلهم وينهون المهزلة التاريخية عمرت طويلا انهكتم بتبذير اموال طائلة مشروع فاشل ويتنازلوا قليلا يجلسوا المغرب لإيجاد حل لهؤلاء الساكنة بتندوف يعانون الكثير وضاعوا وضاع ابناؤهم بدون قراءة عمل مستقبل الأفق ارفقوا عليهم واتروكوهم يعودوا بلدهم الأم يعيشوا مثلهم إخوانهم وافتحوا صفحة جديدة غالب مغلوب والله ولي التوفيق يعلم الله قلوبكم خيرا يؤتكم خيرا
politique,العثماني قرار مجلس الأمن حول الصحراء يكرّس ثوابت المملكة‬,today,البرنوصي,الخميس 31 أكتوبر 2019 - 17:15,الكل يعلم أن فرنسا هي من تتكفل بقضية الصحراء والكل يعلم أن هناك مقابل . الكل يعلم أن وزارة خارجية دون كيشوت أكثرت من لقاءاتها مع صهر ترامب في الآونة الأخيرة وسيكون هناك مقابل . المقابل بالنسبة لأمريكا: - صفقة القرن - تجريم من يجرم التطبيع مع إسرائيل وما خفي أعظم . بالنسبة لفرنسا كتابة القرآن بالدارجة وقبول توصيات المجلس الوطني لحقوق الإنسان.  المملكة حافظت على ثوابتها كما في العنوان والشعب خسر ثوابته :القومي العربي خسر قضيته الأولى،والمسلم ثوابت الإسلام(العلاقات الرضائية في الجنس والاجهاض...)والامازيغي خسر الأصل في تسميته (الحر) أصبحت فرنسا وأمريكا من تفكر له . وحذار من المظاهرات فتوصيات مجلسنا لحقوق الإنسان المكتوبة من طرف الفرنسيين فكرت لكل أمر يمكن أن يحدث فإن *المجلس اقترح إضافة فصل خاص بالعنف بالمجال العمومي والتحريض عليه في سياق التظاهر أو المس بالنظام العام  *.  البرنوصي,الكل يعلم فرنسا تتكفل بقضية الصحراء والكل يعلم الكل يعلم وزارة خارجية كيشوت أكثرت لقاءاتها صهر ترامب الآونة الأخيرة وسيكون المقابل بالنسبة لأمريكا صفقة القرن تجريم يجرم التطبيع إسرائيل خفي أعظم بالنسبة لفرنسا كتابة القرآن بالدارجة وقبول توصيات المجلس الوطني لحقوق الإنسان المملكة حافظت ثوابتها العنوان والشعب خسر ثوابته القومي العربي خسر قضيته الأولى والمسلم ثوابت الإسلام العلاقات الرضائية الجنس والاجهاض والامازيغي خسر الأصل تسميته الحر أصبحت فرنسا وأمريكا تفكر وحذار المظاهرات فتوصيات مجلسنا لحقوق الإنسان المكتوبة طرف الفرنسيين فكرت لكل أمر يحدث المجلس اقترح إضافة فصل خاص بالعنف بالمجال العمومي والتحريض سياق التظاهر المس بالنظام العام البرنوصي
politique,العثماني قرار مجلس الأمن حول الصحراء يكرّس ثوابت المملكة‬,today,مواطن,الخميس 31 أكتوبر 2019 - 17:40,ليست في مصلحة الدول العظمى ان يجد مشكل الصحراء المغربية طريقه الى الحل فهي تسعى الى بلبلة المناطق المستقرة اصلا!لكي تستمر عقود السلاح بملايير الدولارات و يستمر تخلف الدول!تصوروا لو ان مشكل الصحراء اصبح من الماضي و اتفقت الجارتان المغرب و الجزائر على التعاون في شتى المجالات؟!ماذا سيحدث! استفادة الجزائر من الخبرة المغربية في الفلاحة و المغرب من بترول ووغاز الجزائر و القدرة على التصدير بكل حرية الى الدول الافريقية و انتعاش المغرب العربي و تحوله الى قوة اقليمية صاعدة! هل تعتقدون ان القوى العالمية ستسمح بشيء مماثل!هذا لم يحدث في الماضي و بالتأكيد لن يحدث الان! نحن نقول الصحراء مغربية و هي كذلك بالفعل لكن من سيسمح لها ان تكون كذلك..الجواب لكم,مصلحة الدول العظمى يجد مشكل الصحراء المغربية طريقه الحل فهي تسعى بلبلة المناطق المستقرة اصلا تستمر عقود السلاح بملايير الدولارات يستمر تخلف الدول تصوروا مشكل الصحراء اتفقت الجارتان المغرب الجزائر التعاون شتى المجالات سيحدث استفادة الجزائر الخبرة المغربية الفلاحة المغرب بترول ووغاز الجزائر القدرة التصدير بكل حرية الدول الافريقية انتعاش المغرب العربي تحوله اقليمية صاعدة تعتقدون القوى العالمية ستسمح بشيء مماثل يحدث بالتأكيد يحدث نقول الصحراء مغربية بالفعل سيسمح الجواب
politique,العثماني قرار مجلس الأمن حول الصحراء يكرّس ثوابت المملكة‬,today,مجلس اللاااأمن,الخميس 31 أكتوبر 2019 - 18:16,االقوي في مجلس اللامن .كانها في رقعة شطرنج كل يحاول ان يسغل اخطاء البعض ويسجل نقاط على الاخر  الدول تبحت عن مايخدم مصالحها .وعليه فالقضية ذاخل هذه الهيىئة تدخل باب المزايدات ونقول للمرة الألف لا حل يعلوا عن حل حمل السلاح والرجوع لمعركة القتال .البوليزاريو لا تمتلك قرارها السياسي ولن تستطيع التقدم ولا بخطوة في الملف كما ان الاستعجال بطرح الحكم الداتي لم يكن تصرفا مدروسا قد يوحي البعض اننا لسنا اصحاب قضية ان الطرف الثاني هو على صواب وموقف ومبذأ قد. يتعاطف معه من لا يعلم خبايا الامور وتطور مسار الاحذاث ومن يحرك خيوط اللعبة.!!؟,االقوي مجلس اللامن كانها رقعة شطرنج يحاول يسغل اخطاء البعض ويسجل نقاط الاخر الدول تبحت مايخدم مصالحها وعليه فالقضية ذاخل الهيىئة تدخل باب المزايدات ونقول للمرة الألف حل يعلوا حل حمل السلاح والرجوع لمعركة القتال البوليزاريو تمتلك قرارها السياسي ولن تستطيع التقدم بخطوة الملف الاستعجال بطرح الحكم الداتي يكن تصرفا مدروسا يوحي البعض اننا اصحاب قضية الطرف صواب وموقف ومبذأ يتعاطف يعلم خبايا الامور وتطور مسار الاحذاث يحرك خيوط اللعبة 
politique,هكذا انتصر مجلس الأمن لمغربية الصحراء أمام امتناع جنوب إفريقيا,today,قنيطري ..,الخميس 31 أكتوبر 2019 - 14:19,الصحراء مغربية هذا لا نقاش فيه و الامم المتحدة تؤكد هذا الامر ..... و لكن هؤلاء المسؤولين و من يحكمون البلاد الا يرون الاوضاع المزرية للصحة و التعليم و الامن و القضاء الا يودون اصلاحها .. الم يكتفوا من نهب و سرقة ثروات و مداخيل الوطن !! صرنا نعاني و نعاني في كل شئ,الصحراء مغربية نقاش الامم المتحدة تؤكد الامر المسؤولين يحكمون البلاد يرون الاوضاع المزرية للصحة التعليم الامن القضاء يودون اصلاحها الم يكتفوا نهب سرقة ثروات مداخيل الوطن صرنا نعاني نعاني شئ
politique,هكذا انتصر مجلس الأمن لمغربية الصحراء أمام امتناع جنوب إفريقيا,today,الباعمراني ,الخميس 31 أكتوبر 2019 - 14:22,برافوو ،،، برافوو ،،للدبلوماسية المغربية التي خنقت دولة الوهم وأظهرت قزم البوليزاريو على حقيقته ،،,برافوو برافوو للدبلوماسية المغربية خنقت دولة الوهم وأظهرت قزم البوليزاريو حقيقته 
politique,هكذا انتصر مجلس الأمن لمغربية الصحراء أمام امتناع جنوب إفريقيا,today,كمال,الخميس 31 أكتوبر 2019 - 14:23,سنبقى دائما داخل هذه البوثقة.. منذ اكثر من 30 سنة ومجلس الأمن يصدر قرارات والحرب الدبلوماسية تدور رحاها في أروقة الأمم المتحدة..وسبب ذلك غياب رغبة أكيدة من الدول الغربية في حل هذا النزاع لتضارب المصالح من جهة...ومن جهة ثانية لترسيخ التفرقة والتشردم بين الدول العربية وبين الجيران خاصة....أما البوليزاريو فآداة لتعزيز التفرقة...,سنبقى دائما داخل البوثقة ومجلس الأمن يصدر قرارات والحرب الدبلوماسية تدور رحاها أروقة الأمم المتحدة وسبب غياب رغبة أكيدة الدول الغربية حل النزاع لتضارب المصالح جهة جهة ثانية لترسيخ التفرقة والتشردم الدول العربية الجيران البوليزاريو فآداة لتعزيز التفرقة 
politique,هكذا انتصر مجلس الأمن لمغربية الصحراء أمام امتناع جنوب إفريقيا,today,Simmo,الخميس 31 أكتوبر 2019 - 14:24,عن أي انتصار تتحدثون .هل المغرب نال بالصحراء أخيرا .سيبقى مشكل الصحراء عالقا إلى أن يرث الله الأرض ومن عليها.,انتصار تتحدثون المغرب نال بالصحراء أخيرا سيبقى مشكل الصحراء عالقا يرث الله الأرض 
politique,هكذا انتصر مجلس الأمن لمغربية الصحراء أمام امتناع جنوب إفريقيا,today,عز الدين الإفريقي,الخميس 31 أكتوبر 2019 - 14:24,باختصار شديد الحل يكمن في نظري مع هؤلاء البلطجية وعصابات البوليساريو هو الحرب وإنهاء هذا الصداع في الرأس والمشكل المفتعل لي كلفنا الكثير والكثير من الأموال ؛ لو استغلت في مشاريع كبيرة في جل مناطق البلاد لما كنا من الدول الرائدة لكن ولكن....لا أظن أن الحل السلمي سينفع مع هؤلاء ولو تبقى المفاوضات حتى يرث الله الأرض ومن عليها...,باختصار شديد الحل يكمن نظري البلطجية وعصابات البوليساريو الحرب وإنهاء الصداع الرأس والمشكل المفتعل كلفنا الكثير والكثير الأموال استغلت مشاريع كبيرة جل مناطق البلاد كنا الدول الرائدة أظن الحل السلمي سينفع تبقى المفاوضات يرث الله الأرض 
politique,هكذا انتصر مجلس الأمن لمغربية الصحراء أمام امتناع جنوب إفريقيا,today,Maria,الخميس 31 أكتوبر 2019 - 14:25,الف مبروك للمغرب و المغاربة الاحرار على هذا الانتصار غير المسبوق للوحدة الترابية للمملكة المغربية من طنجة الى الكويرة. قل جاء الحق و زهق الباطل ان الباطل كان زهوقا صدق الله و الحمد لله رب العالمين. و عقبى لمزيد من التقدم و الازدهار و الرفاهية للشعب المغربي الابي المناضل.,مبروك للمغرب المغاربة الاحرار الانتصار المسبوق للوحدة الترابية للمملكة المغربية طنجة الكويرة قل جاء الحق زهق الباطل الباطل زهوقا صدق الله الحمد لله رب العالمين عقبى لمزيد التقدم الازدهار الرفاهية للشعب المغربي الابي المناضل 
politique,هكذا انتصر مجلس الأمن لمغربية الصحراء أمام امتناع جنوب إفريقيا,today,احمد,الخميس 31 أكتوبر 2019 - 14:26,وتظل الأجيال تتوالى ونفس القصص تُروى وذات الحكايات تُعاد والقضية لا تحل ولن تُحلّ .. لله الأَمر من قبل ومن بعد,وتظل الأجيال تتوالى ونفس القصص روى وذات الحكايات والقضية تحل ولن حل لله الأ مر
politique,هكذا انتصر مجلس الأمن لمغربية الصحراء أمام امتناع جنوب إفريقيا,today,Said,الخميس 31 أكتوبر 2019 - 14:29,علاش متقولوش لنا ان ملف الصحراء المغربية لم يبرح مكانه ولازال عند نقطة الصفر مادامت الدول تساوي بين المغرب وبين البوليزاريو في الحل عوض ان تكثروا علينا من الشروحات الفاضية ومن قال المحلل السياسي فلان او علان سئمنا شروحاتكم ومحاربة الطواحين مثل الدون كيشوت ولا انتصار لنا في الافق القريب.وتسابق التسلح بيننا وبين الجارة الناكرة للجميل ماهو الا تأخير للمواجهة المباشرة لا قدر الله.,علاش متقولوش ملف الصحراء المغربية يبرح مكانه ولازال نقطة الصفر مادامت الدول تساوي المغرب البوليزاريو الحل تكثروا علينا الشروحات الفاضية المحلل السياسي علان سئمنا شروحاتكم ومحاربة الطواحين الدون كيشوت انتصار الافق القريب وتسابق التسلح بيننا الجارة الناكرة للجميل ماهو تأخير للمواجهة المباشرة قدر الله 
politique,هكذا انتصر مجلس الأمن لمغربية الصحراء أمام امتناع جنوب إفريقيا,today,ALI,الخميس 31 أكتوبر 2019 - 14:30,On parle de l'Afrique de sud comme si c'est uniquement l'Afrique de sud qui est contre le Maroc La Russie aussi n'a pas voté pour le Maroc malgré plusieurs pas marocains vers ce pays ennemi,on parl de l afriqu de sud comm si c est uniqu l afriqu de sud qui est contr le maroc la russi aussi n a pa voté pour le maroc malgré plusieur pa marocain ver ce pay ennemi
politique,هكذا انتصر مجلس الأمن لمغربية الصحراء أمام امتناع جنوب إفريقيا,today,السكنجبير,الخميس 31 أكتوبر 2019 - 14:30,لا أفهم كيف تقوم حركة عميلة مثل البليزاريو بالإحتجاج على مجلس الأمن وهي التي بنت مشروعها الوهمي على مبادئ القانون الدولي مثل الحق في تقرير المصير و الحدود الموروثة على الإستعمار... وكأنها قرآن منزل.  أوليست قرارات مجلس الأمن تمثل أسمى تجليات القانون الدولي؟ إذن كلو من سيآت ما صنعت أيديكم.  هاهو المغرب يغلبكم بالقانون الدولي بعدما غلبكم في ساحات الوغى.,أفهم تقوم حركة عميلة البليزاريو بالإحتجاج مجلس الأمن بنت مشروعها الوهمي مبادئ القانون الدولي الحق تقرير المصير الحدود الموروثة الإستعمار وكأنها قرآن منزل أوليست قرارات مجلس الأمن تمثل أسمى تجليات القانون الدولي كلو سيآت صنعت أيديكم هاهو المغرب يغلبكم بالقانون الدولي بعدما غلبكم ساحات الوغى 
politique,هكذا انتصر مجلس الأمن لمغربية الصحراء أمام امتناع جنوب إفريقيا,today,متأمل في الحياة,الخميس 31 أكتوبر 2019 - 14:35,كرس الموائد المستديرة السابقة .......... لكنها حذرت من أن تجديد الولاية لسنة كاملة هذه المرة لا يعني العودة إلى الصيغة القديمة.  من قرأة هذه الجمل كأن شيئ لم يحدث ، لا جديد الموائد المستديرة  للموائد السابقة ...وعبارة تجديد الولاية لا تعني العودة الى الصيغة القديمة  والصيغة القديمة تعني التي كانت قبل صيغة بولتون ...في رأيي لا جديد في الأمر.,كرس الموائد المستديرة السابقة لكنها حذرت تجديد الولاية لسنة كاملة المرة يعني العودة الصيغة القديمة قرأة الجمل شيئ يحدث جديد الموائد المستديرة للموائد السابقة وعبارة تجديد الولاية تعني العودة الصيغة القديمة والصيغة القديمة تعني صيغة بولتون رأيي جديد الأمر 
politique,هكذا انتصر مجلس الأمن لمغربية الصحراء أمام امتناع جنوب إفريقيا,today,Mounir usa,الخميس 31 أكتوبر 2019 - 14:38,هادا الملف سيبقى الى الأبد في مجلس الأمن. أوروبا تستعمله لنهب ترواتنا . أمريكا و روسيا لبيع أسلحتهم. ونحن ننتضر التسوية . هادا الملف شيبنا هرمنا و نحن ننتضر الفراغ . لن أطيل عليكم التفاصيل تعرفونها .,هادا الملف سيبقى الأبد مجلس الأمن أوروبا تستعمله لنهب ترواتنا أمريكا روسيا لبيع أسلحتهم ونحن ننتضر التسوية هادا الملف شيبنا هرمنا ننتضر الفراغ أطيل عليكم التفاصيل تعرفونها 
